tugas,uts,prediksi
100.00,70.00,Aman
100.00,55.00,Aman
100.00,62.50,Aman
100.00,70.00,Aman
100.00,72.50,Aman
100.00,45.00,Aman
100.00,72.50,Aman
100.00,70.00,Aman
100.00,70.00,Aman
100.00,67.50,Aman
100.00,50.00,Aman
100.00,75.00,Aman
100.00,67.50,Aman
100.00,77.50,Aman
100.00,57.50,Tidak cukup aman
100.00,65.00,Aman
100.00,67.50,Aman
100.00,70.00,Aman
91.73,75.00,Aman
89.18,85.00,Aman
88.27,70.00,Aman
91.73,65.00,Aman
89.64,52.50,Tidak cukup aman
89.64,85.00,Aman
91.73,75.00,Aman
89.00,75.00,Aman
88.73,70.00,Aman
88.73,90.00,Aman
88.27,60.00,Tidak cukup aman
89.00,77.50,Aman
89.73,55.00,Tidak cukup aman
88.18,70.00,Tidak cukup aman
91.73,65.00,Aman
87.09,75.00,Aman
88.73,65.00,Aman
87.09,77.50,Aman
91.73,75.00,Aman
89.73,80.00,Aman
89.27,70.00,Aman
89.27,75.00,Aman
89.18,65.00,Aman
89.73,80.00,Aman
89.64,75.00,Aman
89.18,80.00,Aman
89.64,57.50,Tidak cukup aman
89.27,75.00,Aman
91.73,90.00,Aman
88.27,55.00,Tidak cukup aman
89.00,77.50,Aman
87.09,75.00,Aman
88.18,80.00,Aman
89.64,57.50,Tidak cukup aman
89.64,75.00,Aman
88.18,60.00,Tidak cukup aman
89.27,70.00,Aman
89.64,40.00,Tidak cukup aman
93.00,65.00,Tidak aman
89.30,55.00,Tidak aman
90.00,65.00,Tidak aman
90.00,65.00,Tidak aman
93.00,65.00,Tidak aman
90.00,60.00,Tidak aman
91.00,62.50,Tidak aman
90.70,65.00,Tidak aman
86.70,62.50,Tidak aman
93.00,60.00,Tidak aman
89.30,62.50,Tidak aman
90.70,60.00,Tidak aman
89.30,70.00,Tidak aman
92.00,62.50,Tidak aman
92.00,62.50,Tidak aman
91.00,65.00,Tidak aman
90.70,50.00,Tidak aman
92.00,62.50,Tidak aman
86.70,67.50,Tidak aman
90.70,67.50,Tidak aman
91.00,77.50,Tidak aman
90.70,65.00,Tidak aman
86.70,65.00,Tidak aman
96.00,80.00,Aman
92.00,95.00,Aman
94.50,85.00,Aman
71.00,75.00,Tidak cukup aman
91.00,95.00,Aman
98.50,100.00,Aman
90.15,70.00,Tidak cukup aman
95.15,75.00,Aman
93.65,80.00,Aman
91.35,75.00,Aman
93.35,80.00,Aman
92.65,80.00,Aman
89.15,70.00,Aman
90.15,70.00,Aman
90.85,75.00,Aman
91.15,80.00,Aman
90.35,75.00,Aman
89.15,80.00,Aman
91.35,75.00,Aman
90.85,75.00,Aman
90.85,85.00,Aman
90.35,90.00,Aman
91.30,60.00,Aman
90.20,60.00,Aman
91.30,60.00,Aman
90.00,60.00,Aman
89.70,60.00,Aman
89.50,60.00,Aman
91.20,60.00,Aman
89.70,60.00,Aman
91.20,60.00,Aman
91.30,60.00,Aman
88.50,60.00,Aman
89.20,60.00,Aman
91.20,60.00,Aman
90.20,60.00,Aman
89.20,60.00,Tidak cukup aman
90.70,60.00,Tidak cukup aman
90.00,60.00,Tidak cukup aman
89.80,57.50,Tidak cukup aman
89.70,60.00,Aman
89.80,65.00,Aman
91.30,65.00,Aman
90.20,45.00,Tidak cukup aman
89.70,60.00,Aman
90.20,50.00,Tidak cukup aman
90.70,50.00,Tidak cukup aman
89.80,60.00,Tidak cukup aman
90.70,60.00,Tidak cukup aman
91.30,47.50,Tidak cukup aman
88.50,57.50,Tidak cukup aman
90.00,55.00,Tidak cukup aman
90.20,60.00,Aman
89.80,50.00,Tidak cukup aman
90.20,57.50,Tidak cukup aman
89.50,55.00,Tidak cukup aman
91.30,60.00,Aman
89.20,60.00,Aman
88.50,60.00,Aman
89.50,50.00,Tidak cukup aman
