tugas,uts,uas,prediksi
100,70,80,Aman
100,55,70,Aman
100,62.5,75,Aman
100,70,80,Aman
100,72.5,80,Aman
100,45,80,Aman
100,72.5,75,Aman
100,70,65,Aman
100,70,80,Aman
100,67.5,80,Aman
100,50,75,Aman
100,75,70,Aman
100,67.5,80,Aman
100,77.5,80,Aman
100,57.5,60,Tidak cukup aman
100,65,80,Aman
100,67.5,80,Aman
100,70,75,Aman
93,65,35,Tidak aman
89.3,55,35,Tidak aman
90,65,35,Tidak aman
90,65,35,Tidak aman
93,65,35,Tidak aman
90,60,35,Tidak aman
91,62.5,35,Tidak aman
90.7,65,35,Tidak aman
86.7,62.5,35,Tidak aman
93,60,35,Tidak aman
89.3,62.5,35,Tidak aman
90.7,60,35,Tidak aman
89.3,70,35,Tidak aman
92,62.5,35,Tidak aman
92,62.5,35,Tidak aman
91,65,35,Tidak aman
90.7,50,35,Tidak aman
92,62.5,35,Tidak aman
86.7,67.5,35,Tidak aman
90.7,67.5,35,Tidak aman
91,77.5,35,Tidak aman
90.7,65,35,Tidak aman
86.7,65,35,Tidak aman
96,80,50,Aman
92,95,47.5,Aman
94.5,85,47.5,Aman
71,75,35,Tidak cukup aman
91,95,62.5,Aman
98.5,100,70,Aman
90.15,70,60,Tidak cukup aman
95.15,75,55,Aman
93.65,80,67.5,Aman
91.35,75,77.5,Aman
93.35,80,72.5,Aman
92.65,80,82.5,Aman
89.15,70,67.5,Aman
90.15,70,82.5,Aman
90.85,75,82.5,Aman
91.15,80,75,Aman
90.35,75,77.5,Aman
89.15,80,82.5,Aman
91.35,75,77.5,Aman
90.85,75,82.5,Aman
90.85,85,67.5,Aman
90.35,90,77.5,Aman
91.3,60,77.5,Aman
90.2,60,80,Aman
91.3,60,80,Aman
90,60,80,Aman
89.7,60,80,Aman
89.5,60,80,Aman
91.2,60,80,Aman
89.7,60,80,Aman
91.2,60,80,Aman
91.3,60,80,Aman
88.5,60,80,Aman
89.2,60,77.5,Aman
91.2,60,80,Aman
90.2,60,80,Aman
89.2,60,72.5,Tidak cukup aman
90.7,60,70,Tidak cukup aman
90,60,72.5,Tidak cukup aman
89.8,57.5,77.5,Tidak cukup aman
89.7,60,82.5,Aman
89.8,65,75,Aman
91.3,65,85,Aman
90.2,45,80,Tidak cukup aman
89.7,60,80,Aman
90.2,50,65,Tidak cukup aman
90.7,50,75,Tidak cukup aman
89.8,60,70,Tidak cukup aman
90.7,60,75,Tidak cukup aman
91.3,47.5,70,Tidak cukup aman
88.5,57.5,75,Tidak cukup aman
90,55,72.5,Tidak cukup aman
90.2,60,80,Aman
89.8,50,75,Tidak cukup aman
90.2,57.5,75,Tidak cukup aman
89.5,55,80,Tidak cukup aman
91.3,60,77.5,Aman
89.2,60,77.5,Aman
88.5,60,80,Aman
89.5,50,77.5,Tidak cukup aman
