tugas,uts,uas,prediksi
100,70,80,Aman
100,55,70,Aman
100,62.5,75,Aman
100,70,80,Aman
100,72.5,80,Aman
100,45,80,Aman
100,72.5,75,Aman
100,70,65,Aman
100,70,80,Aman
100,67.5,80,Aman
100,50,75,Aman
100,75,70,Aman
100,67.5,80,Aman
100,77.5,80,Aman
100,57.5,60,Tidak cukup aman
100,65,80,Aman
100,67.5,80,Aman
100,70,75,Aman
91.73,75,72.5,Aman
89.18,85,75,Aman
88.27,70,75,Aman
91.73,65,95,Aman
89.64,52.5,70,Tidak cukup aman
89.64,85,75,Aman
91.73,75,70,Aman
89,75,80,Aman
88.73,70,70,Aman
88.73,90,80,Aman
88.27,60,67.5,Tidak cukup aman
89,77.5,80,Aman
89.73,55,75,Tidak cukup aman
88.18,70,57.5,Tidak cukup aman
91.73,65,70,Aman
87.09,75,90,Aman
88.73,65,70,Aman
87.09,77.5,80,Aman
91.73,75,70,Aman
89.73,80,87.5,Aman
89.27,70,70,Aman
89.27,75,80,Aman
89.18,65,70,Aman
89.73,80,65,Aman
89.64,75,70,Aman
89.18,80,90,Aman
89.64,57.5,70,Tidak cukup aman
89.27,75,65,Aman
91.73,90,72.5,Aman
88.27,55,70,Tidak cukup aman
89,77.5,72.5,Aman
87.09,75,62.5,Aman
88.18,80,75,Aman
89.64,57.5,70,Tidak cukup aman
89.64,75,77.5,Aman
88.18,60,65,Tidak cukup aman
89.27,70,72.5,Aman
89.64,40,60,Tidak cukup aman
93,65,,Tidak aman
89.3,55,,Tidak aman
90,65,,Tidak aman
90,65,,Tidak aman
93,65,,Tidak aman
90,60,,Tidak aman
91,62.5,,Tidak aman
90.7,65,,Tidak aman
86.7,62.5,,Tidak aman
93,60,,Tidak aman
89.3,62.5,,Tidak aman
90.7,60,,Tidak aman
89.3,70,,Tidak aman
92,62.5,,Tidak aman
92,62.5,,Tidak aman
91,65,,Tidak aman
90.7,50,,Tidak aman
92,62.5,,Tidak aman
86.7,67.5,,Tidak aman
90.7,67.5,,Tidak aman
91,77.5,,Tidak aman
90.7,65,,Tidak aman
86.7,65,,Tidak aman
#REF!,80,50,Aman
#REF!,95,47.5,Aman
#REF!,85,47.5,Aman
#REF!,75,35,Tidak cukup aman
#REF!,95,62.5,Aman
#REF!,100,70,Aman
#REF!,70,60,Tidak cukup aman
#REF!,75,55,Aman
#REF!,80,67.5,Aman
#REF!,75,77.5,Aman
#REF!,80,72.5,Aman
#REF!,80,82.5,Aman
#REF!,70,67.5,Aman
#REF!,70,82.5,Aman
#REF!,75,82.5,Aman
#REF!,80,75,Aman
#REF!,75,77.5,Aman
#REF!,80,82.5,Aman
#REF!,75,77.5,Aman
#REF!,75,82.5,Aman
#REF!,85,67.5,Aman
#REF!,90,77.5,Aman
91.3,60,77.5,Aman
90.2,60,80,Aman
91.3,60,80,Aman
90,60,80,Aman
89.7,60,80,Aman
89.5,60,80,Aman
91.2,60,80,Aman
89.7,60,80,Aman
91.2,60,80,Aman
91.3,60,80,Aman
88.5,60,80,Aman
89.2,60,77.5,Aman
91.2,60,80,Aman
90.2,60,80,Aman
89.2,60,72.5,Tidak cukup aman
90.7,60,70,Tidak cukup aman
90,60,72.5,Tidak cukup aman
89.8,57.5,77.5,Tidak cukup aman
89.7,60,82.5,Aman
89.8,65,75,Aman
91.3,65,85,Aman
90.2,45,80,Tidak cukup aman
89.7,60,80,Aman
90.2,50,65,Tidak cukup aman
90.7,50,75,Tidak cukup aman
89.8,60,70,Tidak cukup aman
90.7,60,75,Tidak cukup aman
91.3,47.5,70,Tidak cukup aman
88.5,57.5,75,Tidak cukup aman
90,55,72.5,Tidak cukup aman
90.2,60,80,Aman
89.8,50,75,Tidak cukup aman
90.2,57.5,75,Tidak cukup aman
89.5,55,80,Tidak cukup aman
91.3,60,77.5,Aman
89.2,60,77.5,Aman
88.5,60,80,Aman
89.5,50,77.5,Tidak cukup aman
